asset_id,filename,sha256,width,height,bytes,created_date,generator,model,synthetic,chapter,subjects,contexts,prompt_record,reference_ancestry,material_edits,visual_qa,release_state
"CHA-001","CHA-001-maya-kitchen.png","60de0947cfc3d3459962d135808e14f9d8106e499d22f10c6cc93d16a6a6a1eb","1024","1536","2520405","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Maya","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-002","CHA-002-alex-porch-planter.png","d36245e1f5f659411af72211c95d437c869baf6aec6de0193d962edf07667450","1024","1535","2506491","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Alex","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-003","CHA-003-nora-reading.png","6e2383a1ccb55e2584caf25f5cbabce326e73663f8f4d3a82399035d80aa5164","1024","1536","2448427","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Nora","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-004","CHA-004-theo-workshop.png","a2bbd7a0ada19e80a0275b3fdd9eb358cc780f38fff1ec8134324875f8487ddc","1537","1023","2113248","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Theo","Northside Workshop","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-005","CHA-005-samira-garden.png","800542b906ff6fb9639a796be7cae9d8c2f93421dffdbccf454a35ffe6591198","862","1825","2567213","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Samira","Willow Community Garden","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-006","CHA-006-eli-yard-football.png","13c47ede0e2db9b69107c8542a3d8f0e2eef1a4b15d7bb86fc913823c85689d8","864","1821","2430605","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Eli","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-007","CHA-007-pixel-star-quilt.png","d8d69960f8b51647a3b924a7a18852a009e758a04a219c6bc52ef21167bcfbea","1536","1024","2480165","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Pixel","Star Quilt;Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-008","CHA-008-juniper-garden-gate.png","e430ddb88436cd3a0522c537d075987b4d76530720ce8558af0d63646e46eba6","1536","1024","2888395","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","anchors","Juniper","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-009","CHA-009-moving-day.png","0e1fdb9ea5b1ed9d73dd0677993dec6a8591524d8c57d3478caece850cc2b415","1538","1022","2541845","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Maya;Alex;Theo;Eli","Cedar House;Cedar House Years","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-010","CHA-010-maya-alex-cooking.png","f321b85b1bd7761d6853233f5c66590df7a5e27e4f7d05db725f113e514f2de3","1756","895","2280247","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Maya;Alex","Cedar House;Cedar House Years","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
