asset_id,chapter,title,orientation,subjects,contexts,demonstrates,visibility
CHA-001,anchors,Maya in the Cedar House kitchen,portrait,Maya,Cedar House,Person cover;clear Face;Prime candidate,standard
CHA-002,anchors,Alex repairing a porch planter,portrait,Alex,Cedar House,Person cover;clear Face;Body,standard
CHA-003,anchors,Nora reading beside the window,portrait,Nora,Cedar House,Person cover;age detail;clear Face,personal
CHA-004,anchors,Theo at the Northside workbench,landscape,Theo,Northside Workshop,Person cover;Thing context,standard
CHA-005,anchors,Samira among garden beds,portrait,Samira,Willow Community Garden,Person cover;Place context,standard
CHA-006,anchors,Eli with a football in the yard,portrait,Eli,Cedar House,Person cover;child archive context,personal
CHA-007,anchors,Pixel on the Star Quilt,landscape,Pixel,Star Quilt;Cedar House,Pet cover;Thing connection,standard
CHA-008,anchors,Juniper at the garden gate,landscape,Juniper,Cedar House,Pet cover;Body profile,standard
CHA-009,cedar_house,Moving day at Cedar House,landscape,Maya;Alex;Theo;Eli,Cedar House;Cedar House Years,Life Period;group Faces;connections,standard
CHA-010,cedar_house,Maya and Alex cooking dinner,landscape,Maya;Alex,Cedar House;Cedar House Years,coappearance;clear Faces;everyday archive,personal
CHA-011,cedar_house,Nora teaches Eli the family recipe,landscape,Nora;Eli,Cedar House;Cedar House Years,Person connection;Document precursor,personal
CHA-012,cedar_house,Theo repairs Moss in the hall,landscape,Theo,Moss;Cedar House,Thing profile;Body evidence,standard
CHA-013,cedar_house,Maya and Samira plant herbs,landscape,Maya;Samira,Cedar House;Cedar House Years,coappearance;Place media,standard
CHA-014,cedar_house,Alex and Juniper in backlight,portrait,Alex;Juniper,Cedar House,Pet connection;difficult Face;Secondary candidate,standard
CHA-015,cedar_house,Pixel asleep on the Star Quilt,landscape,Pixel,Star Quilt;Cedar House,Pet media;Thing cover,standard
CHA-016,cedar_house,Busy family dinner,landscape,Maya;Alex;Nora;Theo;Samira;Eli,Cedar House;Cedar House Years,crowded group;occlusion;candidate review,personal
CHA-017,cedar_house,Carrying boxes through porch rain,portrait,Alex;Theo,Cedar House,Body tags;faces obscured;manual Head,standard
CHA-018,cedar_house,Eli and Juniper walking away,portrait,Eli;Juniper,Cedar House,manual Presence;Body;Pet association,personal
CHA-019,cedar_house,Moss waiting at the front gate,portrait,,Moss;Cedar House,Thing cover;Place connection;no Person,standard
CHA-020,cedar_house,Cedar House exterior at dusk,landscape,,Cedar House,Place cover;Life Period cover,standard
CHA-021,bluewater,Ruby packed for departure,landscape,Samira;Alex;Eli,Ruby;Bluewater Weekend,Trip opening;Thing;participants,standard
CHA-022,bluewater,Maya driving in profile,landscape,Maya,Ruby;Bluewater Weekend,sunglasses;profile Face;LQ review,personal
CHA-023,bluewater,Bluewater beach group arrival,landscape,Maya;Alex;Nora;Samira;Eli;Juniper,Bluewater Beach;Bluewater Weekend,Trip cover;group matching;Pet,standard
CHA-024,bluewater,Alex and Eli launch Sunbeam,landscape,Alex;Eli,Sunbeam;Bluewater Beach,Thing;Body;parent-child connection,standard
CHA-025,bluewater,Samira under a broad sunhat,portrait,Samira,Bluewater Beach;Bluewater Weekend,manual Head;occluded Face,standard
CHA-026,bluewater,Nora under the beach umbrella,portrait,Nora,Bluewater Beach;Bluewater Weekend,partial Face;difficult candidate,personal
CHA-027,bluewater,Juniper running through the shallows,landscape,Juniper,Bluewater Beach;Bluewater Weekend,Pet action;Event media,standard
CHA-028,bluewater,Family silhouettes at sunset,landscape,Maya;Alex;Nora;Samira;Eli,Bluewater Beach;Bluewater Weekend,Body and Presence;no reliable Faces,standard
CHA-029,bluewater,Backs of heads at the tide pools,landscape,Nora;Samira;Eli,Bluewater Beach;Bluewater Weekend,Head evidence;manual correction,standard
CHA-030,bluewater,Bluewater overlook with tiny figures,landscape,Maya;Alex;Eli;Juniper,Bluewater Beach;Bluewater Weekend,Place context;Presence;Nearby media,standard
CHA-031,birthday,Setting Nora's birthday table,landscape,Maya;Samira,Star Quilt;Nora's 70th Birthday,Event preparation;Thing connection,standard
CHA-032,birthday,Nora with the birthday cake,landscape,Nora,Nora's 70th Birthday,Event cover;clear Face;Person cover alternative,standard
CHA-033,birthday,Crowded birthday toast,landscape,Maya;Alex;Nora;Theo;Samira,Nora's 70th Birthday,group occlusion;candidate review,personal
CHA-034,birthday,Maya carries the cake through the room,portrait,Maya,Nora's 70th Birthday,Body tag;motion;Face absent,standard
